Genre_Main,topic,ChunkCount,NumChunks_in_Genre,Percentage_within_Genre,topic_label,topic_summary,top_words
Comedy,0,1846,4042,45.6705,0. Domestic and marital relationships,Domestic and marital relationships,"loue, wife, pray, lady, house, master, gentleman, woman, sweet, husband"
Comedy,1,734,4042,18.1593,1. Social roles and faith in daily life,Social roles and faith in daily life,"wife, gentlemen, gentleman, woman, pray, time, lady, faith, old, little"
Comedy,7,123,4042,3.043,7. Expressions of Praise and Affection,Expressions of Praise and Affection,"loue, loues, siluia, faire, protheus, eyes, heart, louer, siluio, louers"
Comedy,8,123,4042,3.043,8. Nobility and Aristocratic Court Life,Nobility and Aristocratic Court Life,"dutchesse, duke, signiour, borgia, court, love, madam, prince, grace, lord"
Comedy,3,97,4042,2.3998,3. Mythology and Precious Materials,Mythology and Precious Materials,"venus, cupid, loue, siluer, gold, great, hand, gods, white, earth"
Comedy,29,77,4042,1.905,29. Personal names and titles,Personal names and titles,"bacon, margret, lacie, peggie, frier, fryer, lacy, raphe, lord, edward"
Comedy,24,70,4042,1.7318,24. Latin function words,Latin function words,"est, non, que, sed, ego, si, hoc, qui, te, ad"
Comedy,19,66,4042,1.6329,19. Theater and Drama Literature,Theater and Drama Literature,"printed, play, stage, acted, author, london, read, written, comedy, censure"
Comedy,35,60,4042,1.4844,35. Medieval Market Goods and Trade,Medieval Market Goods and Trade,"numps, fayre, numpes, bartholmew, buy, bread, fine, ginger, peares, hem"
Comedy,18,46,4042,1.1381,18. Human emotions and existential themes,Human emotions and existential themes,"loue, euer, life, heart, thing, heare, death, way, said, men"
Comedy,45,45,4042,1.1133,45. Medieval social roles and everyday objects,Medieval social roles and everyday objects,"clay, squire, awdrey, tub, turfe, puppy, hun, iohn, marten, chanon"
Comedy,21,43,4042,1.0638,21. Sleep and Dreaming Processes,Sleep and Dreaming Processes,"sleepe, bed, night, dreame, rest, day, awake, wake, light, dreames"
Comedy,26,42,4042,1.0391,26. Nobility and Courtly Relations,Nobility and Courtly Relations,"duke, clarinda, loue, dukes, lord, madame, belieue, court, true, father"
Comedy,32,41,4042,1.0143,32. Religious figures and worship practices,Religious figures and worship practices,"god, iacob, temple, lord, philologus, lorde, saviour, prophet, doo, gods"
Comedy,2,39,4042,0.9649,2. Cosmology and Afterlife Concepts,Cosmology and Afterlife Concepts,"great, death, minde, gods, earth, loe, place, world, things, light"
Comedy,27,39,4042,0.9649,27. Personal names and familial relationships,Personal names and familial relationships,"antonio, berinthia, trincalo, flauia, sebastiano, valasco, pandolfo, sister, armellina, love"
Comedy,56,38,4042,0.9401,56. Characters in a Shakespearean Comedy,Characters in a Shakespearean Comedy,"kate, ferando, polidor, bianca, lucentio, gremio, tranio, katherine, sander, petruchio"
Comedy,58,38,4042,0.9401,58. Characters and Marriage in Classical Drama,Characters and Marriage in Classical Drama,"pamphilus, dauus, chremes, simo, doo, glycerie, marriage, matter, carinus, childe"
Comedy,57,36,4042,0.8906,57. Medieval English dialects and linguistic variation,Medieval English dialects and linguistic variation,"ich, neele, diccon, gammer, hodge, cham, chat, gogs, chil, hodg"
Comedy,63,35,4042,0.8659,63. Classical Friendship and Loyalty Narratives,Classical Friendship and Loyalty Narratives,"damon, pithias, dionisius, doo, kinge, carisophus, friendship, die, frindship, courte"
Comedy,65,35,4042,0.8659,65. Medieval or Renaissance Drama Characters,Medieval or Renaissance Drama Characters,"faukenbridge, skinke, hermit, richard, redcap, fau, prince, porter, iohn, la"
Comedy,11,31,4042,0.7669,11. Medieval religious and moral concepts,Medieval religious and moral concepts,"payne, god, gyue, thynke, parte, ryght, eueryman, heuen, wherfore, muche"
Comedy,46,31,4042,0.7669,46. Venetian trade and commerce,Venetian trade and commerce,"anthonio, dulipo, philogano, camillo, venice, ducats, sicilia, portia, paper, futelli"
Comedy,69,31,4042,0.7669,69. Classical Mythology and Performing Arts,Classical Mythology and Performing Arts,"apollos, apollo, siren, hedone, muses, shrouing, amphibius, play, schoole, whoope"
Comedy,74,31,4042,0.7669,74. Mythological Figures and Names,Mythological Figures and Names,"pandora, stesias, iphicles, melos, learchus, gunophilus, pandoraes, loue, fayre, vvhat"
Comedy,41,27,4042,0.668,41. Religious devotion and moral conduct,Religious devotion and moral conduct,"heere, hic, lord, wit, pray, god, hazard, true, heare, men"
Comedy,10,25,4042,0.6185,"10. Life, Death, and Emotional Experience","Life, Death, and Emotional Experience","death, dead, life, soule, teares, die, heart, griefe, loue, liue"
Comedy,13,24,4042,0.5938,13. Noble Titles and Family Relations,Noble Titles and Family Relations,"duke, lord, brother, florence, death, sciarrha, dead, treason, life, amidea"
Comedy,64,18,4042,0.4453,64. Marriage and Social Status,Marriage and Social Status,"ring, gaue, finger, begd, away, clarke, woman, wife, iudges, lord"
Comedy,4,17,4042,0.4206,4. Medieval English and French Nobility,Medieval English and French Nobility,"king, lord, yorke, france, duke, henry, edward, england, richard, lords"
Comedy,47,16,4042,0.3958,47. Theatrical performance and literary works,Theatrical performance and literary works,"shake, stage, workes, liue, booke, cankring, parlying, hake, prodegie, stratford"
Comedy,52,14,4042,0.3464,52. Literary Authorship and Textual Integrity,Literary Authorship and Textual Integrity,"writings, reade, bene, imitator, frauds, abu, maimed, quitted, draw, capacities"
Comedy,73,14,4042,0.3464,73. Classical Literature and Mythological Characters,Classical Literature and Mythological Characters,"evadne, pamphilus, techmessa, tyndarus, um, cleora, philoclea, mors, love, tutour"
Comedy,54,13,4042,0.3216,54. Classical and Early Modern Theater References,Classical and Early Modern Theater References,"greeke, stage, forth, paccuuius, marlowes, euripides, lily, gropes, cordoua, sockes"
Comedy,55,11,4042,0.2721,55. Poetry and poetic language,Poetry and poetic language,"poets, dry, lines, poet, line, auon, torned, nuncius, corp, antiquated"
Comedy,59,11,4042,0.2721,59. Commerce and Trade Practices,Commerce and Trade Practices,"playes, buy, obtai, leauened, weighd, dailie, stationer, priuiledges, peales, orth"
Comedy,60,11,4042,0.2721,60. Early modern literary and legal documents,Early modern literary and legal documents,"trifles, liuing, booke, exequutor, blount, vvrit, heereto, shakespeares, iaggard, patrones"
Comedy,5,8,4042,0.1979,5. Roman political and mythological figures,Roman political and mythological figures,"brutus, rome, pompey, great, martius, men, antony, people, world, gods"
Comedy,33,7,4042,0.1732,33. Medieval Nobility and Authority,Medieval Nobility and Authority,"admirall, chabot, chancellor, king, iudges, lord, kings, condemn, honour, life"
Comedy,43,5,4042,0.1237,43. Medieval Religious and Familial Language,Medieval Religious and Familial Language,"wyfe, daye, godes, father, praye, therfore, wherfore, waye, tyll, woulde"
Comedy,6,4,4042,0.099,6. Medieval monarchy and nobility,Medieval monarchy and nobility,"king, lord, mortimer, gaueston, edward, france, england, lords, queene, maiestie"
Comedy,14,4,4042,0.099,14. Mythology and Legendary Figures,Mythology and Legendary Figures,"greece, saturne, hercules, sonne, king, mother, iason, death, sonnes, orestes"
Comedy,22,4,4042,0.099,22. Trojan War Characters and Mythology,Trojan War Characters and Mythology,"hector, achilles, troylus, aiax, troy, diomed, patroclus, paris, hectors, troyan"
Comedy,15,2,4042,0.0495,15. Roman political institutions and figures,Roman political institutions and figures,"senate, caesar, consul, rome, catiline, hem, seianvs, state, cato, st"
Comedy,20,2,4042,0.0495,20. Religious texts and Christian theology,Religious texts and Christian theology,"lorde, lawe, soch, god, holy, christ, lawes, whan, gospell, saynt"
Comedy,23,2,4042,0.0495,23. Medieval language and natural elements,Medieval language and natural elements,"wyth, dothe, doothe, agayne, lyght, styll, hande, syght, myght, seas"
Comedy,9,1,4042,0.0247,9. City governance and civic honor,City governance and civic honor,"london, maior, worthy, honor, yeare, time, honour, day, londons, city"
Comedy,12,1,4042,0.0247,12. Historical figures and warfare in Ottoman context,Historical figures and warfare in Ottoman context,"tamburlaine, baiazet, zenocrate, mahomet, tamburlain, armes, theridamas, persea, crowne, turkish"
Comedy,17,1,4042,0.0247,17. Middle English language and reasoning terms,Middle English language and reasoning terms,"ys, yt, wyth, thyng, shuld, wold, wyse, reason, theym, maner"
Comedy,25,1,4042,0.0247,25. Characters and settings in a literary work,Characters and settings in a literary work,"melibea, calisto, celestina, parmeno, sempronio, lucrecia, old, elicia, house, paine"
Comedy,31,1,4042,0.0247,31. Early Modern English Poetry and Names,Early Modern English Poetry and Names,"amyntas, phillis, noe, soe, stil, sweete, fro, whoe, shal, bony"
Comedy,38,1,4042,0.0247,38. Shakespearean Drama Characters and Relationships,Shakespearean Drama Characters and Relationships,"hamlet, lord, horatio, laertes, mother, denmarke, king, father, leartes, heauen"
Comedy,16,0,4042,0.0,16. Political authority and governance,Political authority and governance,"kings, feare, power, state, princes, lawes, men, ill, nature, rage"
Comedy,28,0,4042,0.0,28. Ancient Roman political and military figures,Ancient Roman political and military figures,"marius, scilla, rome, pompey, frends, consull, scillas, caesar, cynna, vvhat"
Comedy,34,0,4042,0.0,34. Roman political figures and power struggles,Roman political figures and power struggles,"caesar, cleopatra, antony, state, death, st, caesars, euer, blood, dead"
Comedy,36,0,4042,0.0,36. Medieval Romance and Chivalry,Medieval Romance and Chivalry,"roderigo, cimena, love, sancho, cid, honour, madam, king, heart, duty"
Comedy,37,0,4042,0.0,37. Trojan War and Greek Mythology,Trojan War and Greek Mythology,"troy, greekes, achilles, hectors, pyrrhus, troyans, agayne, hector, bloud, alas"
Comedy,39,0,4042,0.0,39. Ancient Punic and Roman Historical Figures and Events,Ancient Punic and Roman Historical Figures and Events,"carthage, scipio, syphax, sophonisba, massinissa, hannibal, rome, massanissa, asdruball, gods"
Comedy,40,0,4042,0.0,40. Roman historical figures and imperial themes,Roman historical figures and imperial themes,"rome, titus, andronicus, lucius, emperour, marcus, lauinia, gothes, sonnes, saturnine"
Comedy,42,0,4042,0.0,42. Roman-Egyptian Historical Figures and Relationships,Roman-Egyptian Historical Figures and Relationships,"antonius, cleopatra, anthony, queen, plutarch, dio, love, canidius, rome, egypt"
Comedy,44,0,4042,0.0,44. Classical Pastoral Poetry and Love Themes,Classical Pastoral Poetry and Love Themes,"siluia, cloris, thirsis, palaemon, ah, techne, euer, loue, heart, bene"
Comedy,48,0,4042,0.0,48. British nobility and historical figures,British nobility and historical figures,"cromwell, bedford, lord, earle, gardiner, lambeth, hodge, hart, mantua, thomas"
Comedy,49,0,4042,0.0,49. Biblical figures and ancient Israel royalty,Biblical figures and ancient Israel royalty,"dauids, israel, absalon, dauid, vrias, ioab, absolon, ammon, king, cusay"
Comedy,50,0,4042,0.0,50. Shakespearean characters and events from Romeo and Juliet,Shakespearean characters and events from Romeo and Juliet,"romeo, tybalt, mercutio, iuliet, night, mountague, dead, romeos, paris, tibalt"
Comedy,51,0,4042,0.0,51. Renaissance nobility and aristocratic figures,Renaissance nobility and aristocratic figures,"andrea, hieronimo, horatio, balthazar, sforza, prince, lord, sonne, lorenzo, slaine"
Comedy,61,0,4042,0.0,61. Ancient historical figures and rulers,Ancient historical figures and rulers,"cyrus, abradates, panthea, gobrias, antiochus, libanio, campe, babylon, lord, dinon"
