topic,count,top_words,topic_summary
0,2938,"loue, wife, pray, lady, house, master, gentleman, woman, sweet, husband",Domestic and marital relationships
1,839,"wife, gentlemen, gentleman, woman, pray, time, lady, faith, old, little",Social roles and faith in daily life
2,816,"great, death, minde, gods, earth, loe, place, world, things, light",Cosmology and Afterlife Concepts
3,510,"venus, cupid, loue, siluer, gold, great, hand, gods, white, earth",Mythology and Precious Materials
4,508,"king, lord, yorke, france, duke, henry, edward, england, richard, lords",Medieval English and French Nobility
5,297,"brutus, rome, pompey, great, martius, men, antony, people, world, gods",Roman political and mythological figures
6,282,"king, lord, mortimer, gaueston, edward, france, england, lords, queene, maiestie",Medieval monarchy and nobility
7,239,"loue, loues, siluia, faire, protheus, eyes, heart, louer, siluio, louers",Expressions of Praise and Affection
8,222,"dutchesse, duke, signiour, borgia, court, love, madam, prince, grace, lord",Nobility and Aristocratic Court Life
9,176,"london, maior, worthy, honor, yeare, time, honour, day, londons, city",City governance and civic honor
10,175,"death, dead, life, soule, teares, die, heart, griefe, loue, liue","Life, Death, and Emotional Experience"
11,165,"payne, god, gyue, thynke, parte, ryght, eueryman, heuen, wherfore, muche",Medieval religious and moral concepts
12,163,"tamburlaine, baiazet, zenocrate, mahomet, tamburlain, armes, theridamas, persea, crowne, turkish",Historical figures and warfare in Ottoman context
13,163,"duke, lord, brother, florence, death, sciarrha, dead, treason, life, amidea",Noble Titles and Family Relations
14,149,"greece, saturne, hercules, sonne, king, mother, iason, death, sonnes, orestes",Mythology and Legendary Figures
15,140,"senate, caesar, consul, rome, catiline, hem, seianvs, state, cato, st",Roman political institutions and figures
16,138,"kings, feare, power, state, princes, lawes, men, ill, nature, rage",Political authority and governance
17,136,"ys, yt, wyth, thyng, shuld, wold, wyse, reason, theym, maner",Middle English language and reasoning terms
18,135,"loue, euer, life, heart, thing, heare, death, way, said, men",Human emotions and existential themes
19,135,"printed, play, stage, acted, author, london, read, written, comedy, censure",Theater and Drama Literature
20,134,"lorde, lawe, soch, god, holy, christ, lawes, whan, gospell, saynt",Religious texts and Christian theology
21,125,"sleepe, bed, night, dreame, rest, day, awake, wake, light, dreames",Sleep and Dreaming Processes
22,124,"hector, achilles, troylus, aiax, troy, diomed, patroclus, paris, hectors, troyan",Trojan War Characters and Mythology
23,121,"wyth, dothe, doothe, agayne, lyght, styll, hande, syght, myght, seas",Medieval language and natural elements
24,118,"est, non, que, sed, ego, si, hoc, qui, te, ad",Latin function words
25,101,"melibea, calisto, celestina, parmeno, sempronio, lucrecia, old, elicia, house, paine",Characters and settings in a literary work
26,101,"duke, clarinda, loue, dukes, lord, madame, belieue, court, true, father",Nobility and Courtly Relations
27,97,"antonio, berinthia, trincalo, flauia, sebastiano, valasco, pandolfo, sister, armellina, love",Personal names and familial relationships
28,85,"marius, scilla, rome, pompey, frends, consull, scillas, caesar, cynna, vvhat",Ancient Roman political and military figures
29,80,"bacon, margret, lacie, peggie, frier, fryer, lacy, raphe, lord, edward",Personal names and titles
30,80,"ferdinand, pembrooke, burbon, nauar, fraunce, philip, katharine, knight, rodorick, bellamira",European nobility and royalty
31,79,"amyntas, phillis, noe, soe, stil, sweete, fro, whoe, shal, bony",Early Modern English Poetry and Names
32,78,"god, iacob, temple, lord, philologus, lorde, saviour, prophet, doo, gods",Religious figures and worship practices
33,73,"admirall, chabot, chancellor, king, iudges, lord, kings, condemn, honour, life",Medieval Nobility and Authority
34,66,"caesar, cleopatra, antony, state, death, st, caesars, euer, blood, dead",Roman political figures and power struggles
35,63,"numps, fayre, numpes, bartholmew, buy, bread, fine, ginger, peares, hem",Medieval Market Goods and Trade
36,63,"roderigo, cimena, love, sancho, cid, honour, madam, king, heart, duty",Medieval Romance and Chivalry
